Czas Odczytu,Current [A],Flow [l/min],Temp [°C]
2025-01-03 07:06:25,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:27,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:28,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:30,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:31,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:33,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:34,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:36,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:37,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:39,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:40,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:42,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:44,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:45,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:46,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:48,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:50,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:51,250 A,0.00 l/min,20.0 °C
2025-01-03 07:06:53,250 A,0.00 l/min,20.0 °C
